"idnum","hs_avg_score"
"1720",NA
"1721",NA
"1722",1.5
"1723",3
"1724",NA
"1725",3
"1726",NA
"1727",2.33333333333333
"1728",3
"1729",3
"1730",NA
"1731",1.75
"1732",2.5
"1733",2
"1734",3.5
"1735",NA
"1736",NA
"1737",NA
"1738",2
"1739",2.33333333333333
"1740",2.75
"1741",3.25
"1742",2.75
"1743",2.75
"1744",2
"1745",NA
"1746",3.75
"1747",3
"1748",3.5
"1749",3.5
"1750",NA
"1751",NA
"1752",3
"1753",2.25
"1754",3
"1755",2
"1756",NA
"1757",NA
"1758",3
"1759",1.75
"1760",2.25
"1761",NA
"1762",2.75
"1763",4
"1764",NA
"1765",NA
"1766",2.75
"1767",3
"1768",3.66666666666667
"1769",2.5
"1770",3.33333333333333
"1771",4
"1772",NA
"1773",NA
"1774",2.75
"1775",4
"1776",1.66666666666667
"1777",2.25
"1778",4
"1779",2.5
"1780",2.75
"1781",3.25
"1782",3
"1783",3.33333333333333
"1784",2.5
"1785",3.75
"1786",2.75
"1787",NA
"1788",4
"1789",3
"1790",NA
"1791",NA
"1792",NA
"1793",3.5
"1794",2.25
"1795",NA
"1796",3.25
"1797",3.25
"1798",NA
"1799",3.75
"1800",3.25
"1801",4
"1802",2
"1803",3.25
"1804",NA
"1805",NA
"1806",3.75
"1807",NA
"1808",2.66666666666667
"1809",1.75
"1810",NA
"1811",NA
"1812",2.25
"1813",2
"1814",3
"1815",2
"1816",4
"1817",3
"1818",NA
"1819",3.5
"1820",2.25
"1821",NA
"1822",2.5
"1823",2.33333333333333
"1824",2.25
"1825",3.5
"1826",3.25
"1827",3.75
"1828",NA
"1829",NA
"1830",NA
"1831",NA
"1832",2
"1833",3.25
"1834",2.75
"1835",3
"1836",2.5
"1837",4
"1838",2.25
"1839",2.5
"1840",2
"1841",3.5
"1842",1.5
"1843",NA
"1844",2.33333333333333
"1845",2.5
"1846",2.75
"1847",NA
"1848",3.5
"1849",NA
"1850",2
"1851",NA
"1852",2.5
"1853",2.33333333333333
