"idnum","father_fin_security_w234","mother_fin_security_w2345"
"0528","No","No"
"0529","No","Yes"
"0530","No","No"
"0531","Yes","No"
"0532","No","No"
"0533","Yes","Yes"
"0534",NA,"No"
"0535","No","No"
"0536","Yes","No"
"0537",NA,NA
"0538","No","Yes"
"0539","Yes","Yes"
"0540",NA,"Yes"
"0541","No","No"
"0542",NA,"No"
"0543","Yes","Yes"
"0544","Yes","Yes"
"0545","No","No"
"0546","No","No"
"0547","Yes","Yes"
"0548","Yes","Yes"
"0549","Yes","Yes"
"0550","Yes","No"
"0551","No","No"
"0552","Yes","Yes"
"0553","No","Yes"
"0554",NA,"Yes"
"0555","No","Yes"
"0556","No","Yes"
"0557","Yes","Yes"
"0558","Yes","Yes"
"0559","Yes","Yes"
"0560","Yes","No"
"0561","Yes","No"
"0562","Yes","Yes"
"0563","Yes","Yes"
"0564","Yes","Yes"
"0565","Yes","No"
"0566","Yes","Yes"
"0567","No","No"
"0568","No","No"
"0569","No","No"
"0570","Yes","Yes"
"0571",NA,"Yes"
"0572","No","No"
"0573","No","No"
"0574","No","No"
"0575",NA,"No"
"0576","No","Yes"
"0577","Yes","Yes"
"0578","No","No"
"0579",NA,"Yes"
"0580",NA,"Yes"
"0581","No","No"
"0582","No","Yes"
"0583","No","No"
"0584","No",NA
"0585",NA,"No"
"0586","Yes","Yes"
"0587",NA,"Yes"
"0588",NA,NA
"0589","Yes","Yes"
"0590",NA,"No"
"0591","Yes","No"
"0592",NA,"No"
"0593","Yes","No"
"0594","Yes","Yes"
"0595",NA,"Yes"
"0596",NA,"No"
"0597","No","Yes"
"0598","Yes","Yes"
"0599",NA,"Yes"
"0600","Yes","Yes"
"0601","No","Yes"
"0602","Yes","Yes"
"0603",NA,NA
"0604","No","Yes"
"0605","No","No"
"0606","No","Yes"
"0607","No","No"
"0608",NA,"No"
"0609","Yes","Yes"
"0610","Yes","No"
"0611","No","No"
"0612",NA,"Yes"
"0613","Yes","Yes"
"0614","No","No"
"0615","No","No"
"0616","Yes","Yes"
"0617","No","Yes"
"0618",NA,NA
"0619","Yes","Yes"
"0620","No","Yes"
"0621","Yes","No"
"0622","Yes","No"
"0623","Yes","Yes"
"0624","Yes","Yes"
"0625","Yes","No"
"0626","No","No"
"0627",NA,"Yes"
"0628","No","Yes"
"0629","Yes","No"
"0630",NA,"No"
"0631","Yes","Yes"
"0632","Yes","No"
"0633",NA,NA
"0634","Yes","Yes"
"0635","No","Yes"
"0636","Yes","Yes"
"0637","Yes","Yes"
"0638","Yes","Yes"
"0639","Yes","Yes"
"0640","Yes","Yes"
"0641","Yes","Yes"
"0642","No","Yes"
"0643","No","Yes"
"0644",NA,NA
"0645",NA,"No"
"0646","Yes","Yes"
"0647",NA,"No"
"0648",NA,"Yes"
