"idnum","child_edu_level"
"0918",NA
"0919",NA
"0920","Completed high school"
"0921",NA
"0922",NA
"0923","Completed high school"
"0924",NA
"0925","Completed high school"
"0926",NA
"0927","Some college, tech"
"0928",NA
"0929","Less than high school"
"0930",NA
"0931","Some college, tech"
"0932",NA
"0933",NA
"0934",NA
"0935","Some college, tech"
"0936","Some college, tech"
"0937","Some college, tech"
"0938",NA
"0939",NA
"0940",NA
"0941",NA
"0942","Completed high school"
"0943","Some college, tech"
"0944",NA
"0945","Completed high school"
"0946","Completed high school"
"0947",NA
"0948","Completed high school"
"0949",NA
"0950","Completed college/grad"
"0951","Completed high school"
"0952","Some college, tech"
"0953",NA
"0954","Some college, tech"
"0955","Completed high school"
"0956","Completed high school"
"0957","Completed college/grad"
"0958","Completed high school"
"0959","Completed college/grad"
"0960","Completed high school"
"0961",NA
"0962","Less than high school"
"0963","Completed high school"
"0964","Some college, tech"
"0965",NA
"0966","Completed high school"
"0967","Some college, tech"
"0968",NA
"0969","Completed high school"
"0970",NA
"0971","Completed high school"
"0972","Some college, tech"
"0973",NA
"0974","Completed high school"
"0975","Some college, tech"
"0976",NA
"0977","Completed college/grad"
"0978","Some college, tech"
"0979","Some college, tech"
"0980",NA
"0981",NA
"0982",NA
"0983",NA
"0984","Some college, tech"
"0985",NA
"0986",NA
"0987",NA
"0988","Some college, tech"
"0989","Completed high school"
"0990","Completed high school"
"0991",NA
"0992","Completed high school"
"0993","Completed college/grad"
"0994","Some college, tech"
"0995",NA
"0996","Completed high school"
"0997","Some college, tech"
"0998","Some college, tech"
"0999",NA
"1000","Completed high school"
"1001","Some college, tech"
"1002","Completed college/grad"
"1003",NA
"1004",NA
"1005",NA
"1006","Completed high school"
"1007",NA
"1008",NA
"1009",NA
"1010","Completed high school"
"1011","Some college, tech"
"1012",NA
"1013",NA
"1014",NA
"1015",NA
"1016","Completed college/grad"
"1017","Completed high school"
"1018","Some college, tech"
"1019","Completed high school"
"1020","Completed high school"
"1021","Completed high school"
"1022","Some college, tech"
"1023","Some college, tech"
"1024","Completed high school"
"1025","Some college, tech"
"1026","Some college, tech"
"1027","Some college, tech"
"1028",NA
"1029",NA
"1030","Completed high school"
"1031","Completed high school"
"1032","Some college, tech"
"1033","Completed college/grad"
"1034","Completed high school"
"1035",NA
"1036","Completed high school"
"1037","Some college, tech"
"1038","Some college, tech"
"1039",NA
"1040",NA
"1041","Some college, tech"
"1042","Completed high school"
"1043",NA
"1044","Completed high school"
"1045","Some college, tech"
"1046",NA
"1047","Completed high school"
"1048","Some college, tech"
"1049",NA
"1050","Completed college/grad"
"1051",NA
"1052","Some college, tech"
"1053",NA
"1054","Completed high school"
"1055","Some college, tech"
"1056","Some college, tech"
"1057","Completed high school"
"1058",NA
"1059","Some college, tech"
"1060","Completed high school"
"1061","Some college, tech"
"1062","Completed high school"
"1063",NA
"1064",NA
"1065",NA
"1066",NA
"1067","Completed high school"
"1068","Less than high school"
"1069",NA
"1070","Completed high school"
"1071","Completed high school"
"1072","Some college, tech"
"1073","Less than high school"
"1074","Some college, tech"
"1075",NA
"1076",NA
"1077",NA
"1078",NA
"1079","Some college, tech"
"1080",NA
"1081",NA
"1082","Completed high school"
"1083",NA
"1084",NA
"1085",NA
"1086","Less than high school"
"1087","Completed high school"
"1088","Completed high school"
"1089","Completed high school"
"1090","Completed high school"
"1091","Completed high school"
"1092",NA
"1093","Completed high school"
"1094","Some college, tech"
"1095","Completed high school"
"1096","Some college, tech"
"1097","Some college, tech"
"1098","Some college, tech"
"1099","Completed high school"
"1100",NA
"1101",NA
"1102","Completed college/grad"
"1103",NA
"1104","Some college, tech"
"1105",NA
"1106","Some college, tech"
"1107","Less than high school"
"1108",NA
"1109","Some college, tech"
"1110","Some college, tech"
"1111",NA
"1112","Completed college/grad"
"1113","Some college, tech"
"1114",NA
"1115","Some college, tech"
"1116","Completed high school"
"1117","Some college, tech"
"1118",NA
"1119",NA
"1120","Some college, tech"
"1121","Completed high school"
"1122","Some college, tech"
"1123","Some college, tech"
"1124","Completed high school"
"1125","Some college, tech"
"1126","Completed high school"
"1127",NA
"1128","Some college, tech"
"1129","Completed high school"
"1130","Some college, tech"
"1131","Some college, tech"
"1132",NA
"1133","Less than high school"
"1134","Less than high school"
"1135","Completed high school"
"1136",NA
"1137",NA
"1138","Less than high school"
"1139","Completed college/grad"
"1140","Some college, tech"
"1141","Some college, tech"
"1142","Completed high school"
"1143","Completed high school"
"1144",NA
"1145",NA
"1146",NA
"1147","Completed high school"
"1148",NA
"1149","Completed high school"
"1150",NA
"1151","Some college, tech"
"1152","Some college, tech"
"1153",NA
"1154","Some college, tech"
"1155","Completed college/grad"
"1156","Less than high school"
"1157","Completed high school"
"1158",NA
"1159","Completed college/grad"
"1160",NA
"1161","Some college, tech"
"1162",NA
"1163","Some college, tech"
"1164","Some college, tech"
"1165",NA
"1166","Some college, tech"
"1167",NA
"1168","Some college, tech"
"1169","Completed high school"
"1170",NA
"1171","Some college, tech"
"1172",NA
"1173","Some college, tech"
"1174","Completed high school"
"1175","Less than high school"
"1176","Completed high school"
"1177",NA
"1178","Completed high school"
"1179","Less than high school"
"1180",NA
"1181","Completed high school"
"1182","Some college, tech"
"1183",NA
"1184","Some college, tech"
"1185",NA
"1186","Some college, tech"
"1187",NA
"1188","Some college, tech"
"1189","Some college, tech"
"1190","Some college, tech"
"1191","Some college, tech"
"1192",NA
"1193","Some college, tech"
"1194","Less than high school"
"1195","Completed high school"
"1196",NA
"1197",NA
"1198","Less than high school"
"1199","Completed college/grad"
"1200",NA
"1201","Less than high school"
"1202","Completed high school"
"1203","Completed high school"
"1204","Completed high school"
"1205",NA
"1206","Some college, tech"
"1207","Some college, tech"
"1208","Some college, tech"
"1209","Completed high school"
"1210","Some college, tech"
"1211","Completed high school"
"1212","Less than high school"
"1213","Some college, tech"
"1214",NA
"1215","Completed high school"
"1216",NA
"1217","Completed high school"
"1218",NA
"1219",NA
"1220","Some college, tech"
"1221","Completed high school"
"1222","Completed high school"
"1223","Some college, tech"
"1224",NA
"1225","Completed high school"
"1226","Some college, tech"
"1227","Some college, tech"
"1228","Completed high school"
"1229",NA
"1230","Completed high school"
"1231","Some college, tech"
"1232",NA
"1233","Less than high school"
"1234","Some college, tech"
"1235","Completed college/grad"
"1236","Some college, tech"
"1237",NA
"1238","Less than high school"
"1239",NA
"1240",NA
"1241",NA
"1242","Some college, tech"
"1243","Completed high school"
"1244",NA
"1245",NA
"1246",NA
"1247",NA
"1248","Completed high school"
"1249",NA
"1250","Completed high school"
"1251",NA
"1252","Completed college/grad"
"1253",NA
"1254","Some college, tech"
"1255","Some college, tech"
"1256","Some college, tech"
"1257","Less than high school"
"1258",NA
"1259","Completed high school"
"1260","Completed high school"
"1261","Some college, tech"
"1262","Some college, tech"
"1263","Some college, tech"
"1264","Some college, tech"
"1265","Completed high school"
"1266","Completed high school"
"1267","Some college, tech"
"1268","Less than high school"
"1269","Some college, tech"
"1270",NA
"1271",NA
"1272",NA
"1273",NA
"1274",NA
"1275",NA
"1276",NA
"1277",NA
"1278","Some college, tech"
"1279","Less than high school"
"1280","Completed college/grad"
"1281","Some college, tech"
"1282","Less than high school"
"1283",NA
"1284","Some college, tech"
"1285","Some college, tech"
"1286","Some college, tech"
"1287",NA
"1288",NA
"1289","Completed high school"
"1290",NA
"1291","Some college, tech"
"1292","Some college, tech"
"1293",NA
"1294",NA
"1295",NA
"1296",NA
"1297","Some college, tech"
"1298","Completed high school"
"1299","Some college, tech"
"1300",NA
"1301","Completed high school"
"1302",NA
"1303",NA
"1304","Completed high school"
"1305","Some college, tech"
"1306",NA
"1307","Completed high school"
"1308",NA
"1309",NA
"1310",NA
"1311",NA
"1312",NA
"1313","Less than high school"
"1314","Some college, tech"
"1315",NA
"1316","Less than high school"
"1317",NA
"1318","Some college, tech"
"1319","Some college, tech"
"1320","Some college, tech"
"1321","Some college, tech"
"1322","Completed high school"
"1323","Some college, tech"
"1324",NA
"1325",NA
"1326","Completed high school"
"1327",NA
"1328",NA
"1329",NA
"1330","Completed college/grad"
"1331",NA
"1332","Some college, tech"
"1333","Some college, tech"
"1334",NA
"1335",NA
"1336","Some college, tech"
"1337","Completed high school"
"1338","Some college, tech"
"1339","Completed high school"
"1340","Completed high school"
"1341","Some college, tech"
"1342",NA
"1343","Completed high school"
"1344","Some college, tech"
"1345","Some college, tech"
"1346",NA
"1347","Completed high school"
"1348","Some college, tech"
"1349","Some college, tech"
"1350","Some college, tech"
"1351","Some college, tech"
"1352",NA
"1353","Completed high school"
"1354",NA
"1355",NA
"1356","Completed college/grad"
"1357","Completed high school"
"1358","Some college, tech"
"1359","Completed high school"
"1360","Some college, tech"
"1361",NA
"1362","Completed high school"
"1363","Completed college/grad"
"1364","Completed high school"
"1365","Completed high school"
"1366","Completed high school"
"1367","Some college, tech"
"1368","Completed high school"
"1369","Completed high school"
"1370",NA
"1371","Less than high school"
"1372","Some college, tech"
"1373",NA
"1374",NA
"1375","Completed high school"
"1376",NA
"1377",NA
"1378",NA
"1379","Some college, tech"
"1380","Completed high school"
"1381","Completed high school"
"1382",NA
"1383","Completed high school"
"1384","Completed high school"
"1385","Some college, tech"
"1386",NA
"1387","Some college, tech"
"1388","Completed high school"
"1389","Completed high school"
"1390","Some college, tech"
"1391",NA
"1392",NA
"1393","Some college, tech"
"1394","Completed high school"
"1395",NA
"1396","Some college, tech"
"1397","Completed high school"
"1398","Completed high school"
"1399","Some college, tech"
"1400",NA
"1401","Completed high school"
"1402",NA
"1403","Some college, tech"
"1404",NA
"1405","Less than high school"
"1406",NA
"1407",NA
"1408","Completed high school"
"1409","Some college, tech"
"1410",NA
"1411",NA
"1412","Completed high school"
"1413","Completed high school"
"1414","Completed high school"
"1415",NA
"1416","Some college, tech"
"1417",NA
