"idnum","fparents_edustatus_w2345","mparents_edustatus_w2345"
"0327","Neither parent attended college","At least one parent attended college"
"0328","At least one parent attended college","At least one parent attended college"
"0329","Neither parent attended college",NA
"0330","Neither parent attended college","Neither parent attended college"
"0331","Neither parent attended college","Neither parent attended college"
"0332","Neither parent attended college","Neither parent attended college"
"0333","Neither parent attended college","Neither parent attended college"
"0334","At least one parent attended college","At least one parent attended college"
"0335",NA,NA
"0336","At least one parent attended college","At least one parent attended college"
"0337","At least one parent attended college","At least one parent attended college"
"0338","Neither parent attended college","At least one parent attended college"
"0339","At least one parent attended college","At least one parent attended college"
"0340","At least one parent attended college","Neither parent attended college"
"0341","Neither parent attended college","At least one parent attended college"
"0342",NA,"At least one parent attended college"
"0343","Neither parent attended college","Neither parent attended college"
"0344","At least one parent attended college","Neither parent attended college"
"0345","Neither parent attended college","Neither parent attended college"
"0346","Neither parent attended college","Neither parent attended college"
"0347","At least one parent attended college","At least one parent attended college"
"0348","Neither parent attended college","Neither parent attended college"
"0349","Neither parent attended college","At least one parent attended college"
"0350","Neither parent attended college","At least one parent attended college"
"0351","At least one parent attended college","At least one parent attended college"
"0352",NA,"Neither parent attended college"
"0353","At least one parent attended college",NA
"0354",NA,"Neither parent attended college"
"0355","Neither parent attended college","Neither parent attended college"
"0356","At least one parent attended college","Neither parent attended college"
"0357","Neither parent attended college","Neither parent attended college"
"0358",NA,"At least one parent attended college"
"0359","Neither parent attended college","Neither parent attended college"
"0360","Neither parent attended college","Neither parent attended college"
"0361","Neither parent attended college","Neither parent attended college"
"0362","Neither parent attended college","At least one parent attended college"
"0363","Neither parent attended college","Neither parent attended college"
"0364","Neither parent attended college","At least one parent attended college"
"0365","At least one parent attended college","At least one parent attended college"
"0366","Neither parent attended college","Neither parent attended college"
"0367","At least one parent attended college","Neither parent attended college"
"0368","Neither parent attended college",NA
"0369","Neither parent attended college","Neither parent attended college"
"0370","Neither parent attended college","At least one parent attended college"
"0371","Neither parent attended college",NA
"0372",NA,"Neither parent attended college"
"0373","At least one parent attended college","Neither parent attended college"
"0374","At least one parent attended college",NA
"0375","At least one parent attended college","Neither parent attended college"
"0376",NA,"Neither parent attended college"
"0377",NA,"Neither parent attended college"
"0378","At least one parent attended college","Neither parent attended college"
"0379","Neither parent attended college","Neither parent attended college"
"0380","At least one parent attended college","Neither parent attended college"
"0381","Neither parent attended college","At least one parent attended college"
"0382",NA,NA
"0383","Neither parent attended college","At least one parent attended college"
"0384","Neither parent attended college","Neither parent attended college"
"0385","Neither parent attended college","Neither parent attended college"
"0386","At least one parent attended college","At least one parent attended college"
"0387","Neither parent attended college","Neither parent attended college"
"0388","Neither parent attended college","Neither parent attended college"
"0389","Neither parent attended college","Neither parent attended college"
"0390",NA,"Neither parent attended college"
"0391","Neither parent attended college","At least one parent attended college"
"0392","Neither parent attended college","Neither parent attended college"
"0393","At least one parent attended college","At least one parent attended college"
"0394","Neither parent attended college","Neither parent attended college"
"0395",NA,NA
"0396",NA,"At least one parent attended college"
"0397","At least one parent attended college","Neither parent attended college"
"0398","Neither parent attended college","At least one parent attended college"
"0399","Neither parent attended college","Neither parent attended college"
"0400","At least one parent attended college","At least one parent attended college"
"0401","Neither parent attended college","Neither parent attended college"
"0402","Neither parent attended college","At least one parent attended college"
"0403",NA,"At least one parent attended college"
"0404","At least one parent attended college","Neither parent attended college"
"0405","Neither parent attended college","At least one parent attended college"
"0406",NA,NA
"0407","Neither parent attended college","Neither parent attended college"
"0408","At least one parent attended college","At least one parent attended college"
"0409","Neither parent attended college","At least one parent attended college"
"0410","At least one parent attended college","At least one parent attended college"
"0411","At least one parent attended college","Neither parent attended college"
"0412","At least one parent attended college",NA
"0413",NA,"Neither parent attended college"
"0414","Neither parent attended college","At least one parent attended college"
"0415","At least one parent attended college","Neither parent attended college"
"0416","At least one parent attended college",NA
"0417","At least one parent attended college","Neither parent attended college"
"0418","Neither parent attended college","Neither parent attended college"
"0419",NA,"Neither parent attended college"
"0420","Neither parent attended college","Neither parent attended college"
"0421","Neither parent attended college","Neither parent attended college"
"0422","At least one parent attended college","Neither parent attended college"
"0423",NA,"Neither parent attended college"
"0424","Neither parent attended college","Neither parent attended college"
"0425","Neither parent attended college","Neither parent attended college"
"0426","Neither parent attended college","Neither parent attended college"
"0427",NA,"Neither parent attended college"
"0428",NA,"Neither parent attended college"
"0429","Neither parent attended college","Neither parent attended college"
"0430","Neither parent attended college","Neither parent attended college"
"0431","Neither parent attended college",NA
"0432","Neither parent attended college","Neither parent attended college"
"0433","At least one parent attended college","At least one parent attended college"
"0434",NA,"Neither parent attended college"
"0435",NA,"Neither parent attended college"
"0436","At least one parent attended college","At least one parent attended college"
"0437","Neither parent attended college","Neither parent attended college"
"0438","Neither parent attended college","Neither parent attended college"
"0439","At least one parent attended college","At least one parent attended college"
"0440","Neither parent attended college","Neither parent attended college"
"0441","Neither parent attended college","Neither parent attended college"
"0442",NA,"Neither parent attended college"
"0443","Neither parent attended college","At least one parent attended college"
"0444","At least one parent attended college","Neither parent attended college"
"0445","At least one parent attended college","At least one parent attended college"
"0446","At least one parent attended college","At least one parent attended college"
"0447",NA,"At least one parent attended college"
"0448","At least one parent attended college","At least one parent attended college"
"0449",NA,"At least one parent attended college"
"0450","Neither parent attended college","Neither parent attended college"
"0451","Neither parent attended college","Neither parent attended college"
"0452","At least one parent attended college","At least one parent attended college"
"0453","Neither parent attended college","At least one parent attended college"
"0454","Neither parent attended college","At least one parent attended college"
"0455","Neither parent attended college","Neither parent attended college"
"0456","Neither parent attended college","Neither parent attended college"
"0457",NA,"Neither parent attended college"
"0458","At least one parent attended college","Neither parent attended college"
"0459","At least one parent attended college","At least one parent attended college"
"0460","At least one parent attended college","Neither parent attended college"
"0461",NA,NA
"0462",NA,NA
"0463","At least one parent attended college","Neither parent attended college"
"0464","At least one parent attended college","Neither parent attended college"
"0465","Neither parent attended college","Neither parent attended college"
"0466","At least one parent attended college","Neither parent attended college"
"0467",NA,"At least one parent attended college"
"0468","Neither parent attended college","Neither parent attended college"
"0469","At least one parent attended college","Neither parent attended college"
"0470",NA,"At least one parent attended college"
"0471","Neither parent attended college","Neither parent attended college"
"0472","At least one parent attended college","At least one parent attended college"
"0473","Neither parent attended college","At least one parent attended college"
"0474","At least one parent attended college","At least one parent attended college"
