"idnum","k6b20a","k6b20b","k6b20c","k6b20d"
"0677",NA,NA,NA,NA
"0678","C","D or lower","D or lower",NA
"0679","B","C","C","B"
"0680",NA,"D or lower","B","A"
"0681",NA,NA,NA,NA
"0682",NA,NA,NA,NA
"0683","D or lower","D or lower","D or lower","D or lower"
"0684","A","B","A","B"
"0685","B","D or lower","C","B"
"0686","B","A",NA,"C"
"0687","B","B",NA,"B"
"0688","C","A","B","B"
"0689","A","A","A","A"
"0690","B","B","A","C"
"0691","B","B","C","D or lower"
"0692","C","B",NA,"B"
"0693","A","A","A","A"
"0694","C","A","B","B"
"0695",NA,NA,NA,NA
"0696","A","B",NA,"A"
"0697","B","B","A","B"
"0698","C","B","D or lower","B"
"0699","A","A","A","B"
"0700","C","D or lower","C","C"
"0701","C","C","B","A"
"0702","B","C","B","A"
"0703",NA,NA,NA,NA
"0704","B","C","B","B"
"0705","C","D or lower","B",NA
"0706",NA,NA,NA,NA
"0707","B","B","C","A"
"0708","C","A","B",NA
"0709","B","B",NA,"C"
"0710",NA,NA,NA,NA
"0711","C","B","D or lower",NA
"0712","A","A","B","B"
"0713","B","B","B","C"
"0714","C","C","A","B"
"0715","C","C","C","B"
"0716","B","B","B","A"
"0717",NA,NA,NA,NA
"0718",NA,NA,NA,NA
"0719",NA,NA,NA,NA
"0720","A","A","A","A"
"0721","C","B","A","A"
"0722","B","B","B","C"
"0723",NA,NA,NA,NA
"0724",NA,NA,NA,NA
"0725",NA,NA,NA,NA
"0726","A","A","B","A"
"0727","B","A","C","B"
"0728","B","B","B","C"
"0729",NA,NA,NA,NA
"0730",NA,NA,NA,NA
"0731","A","B","A","C"
"0732",NA,NA,NA,NA
"0733","C","B","D or lower","A"
"0734",NA,NA,NA,NA
"0735","C","C","B","A"
"0736",NA,NA,NA,NA
"0737","B","C","B","A"
"0738",NA,NA,NA,NA
"0739","B","C","B","C"
"0740","B","C","B","B"
"0741","B","C","C","C"
"0742","B","B","B","B"
"0743",NA,NA,NA,NA
"0744","A","B","A","B"
"0745",NA,NA,NA,NA
"0746",NA,NA,NA,NA
"0747","A","C","B","A"
"0748","B","B","C","C"
"0749","A","A","A","A"
"0750",NA,NA,NA,NA
"0751","B","C","B","D or lower"
"0752","B","A","A","A"
"0753","A","B","B","A"
"0754","D or lower","B","B","B"
"0755","A","A","A","A"
"0756","A","A","A","A"
"0757",NA,NA,"A","B"
"0758","B","C","B","C"
"0759","B","C","A","A"
"0760","D or lower","C","C","D or lower"
"0761","C","D or lower","D or lower","B"
"0762",NA,NA,"B","B"
"0763",NA,NA,NA,NA
"0764","B","D or lower","C","D or lower"
"0765",NA,NA,NA,NA
"0766",NA,NA,NA,NA
"0767","C","C","B",NA
"0768","A","B","A","A"
"0769","B","C","A","A"
"0770",NA,NA,NA,NA
"0771",NA,"A","D or lower","C"
"0772",NA,NA,NA,NA
"0773","B","B","B","B"
"0774","C",NA,"D or lower","B"
"0775","B","D or lower","C","D or lower"
"0776",NA,NA,NA,"D or lower"
"0777","C","C","D or lower",NA
"0778","C","C","C","B"
"0779",NA,NA,NA,NA
"0780",NA,NA,NA,NA
"0781","B","D or lower","B","A"
"0782","A","B",NA,NA
"0783","B","B","A","B"
"0784","B","C","B","C"
"0785","B","A","A","A"
"0786","C","D or lower","C","C"
"0787",NA,NA,NA,NA
"0788","B","A","C","C"
"0789","B","A","B","C"
"0790","B","B","B","B"
"0791","B","C","B","C"
"0792","A","B","B","B"
"0793","C","B","A","C"
"0794","B","B","B","B"
"0795","D or lower","C","D or lower","B"
"0796",NA,NA,NA,NA
"0797",NA,NA,NA,NA
"0798",NA,NA,NA,NA
"0799","C","D or lower","A","C"
"0800","B","A","A","B"
"0801","B","C","A","B"
"0802","A","A","B","B"
"0803","A","A","B","A"
"0804",NA,NA,NA,NA
"0805","B","A","B","B"
"0806",NA,NA,NA,NA
"0807","C","B","C","A"
"0808","A","B","B","A"
"0809","D or lower",NA,NA,"C"
"0810","B","C","C","B"
"0811",NA,NA,NA,NA
"0812",NA,NA,NA,NA
"0813","B","C","B",NA
"0814","D or lower","B",NA,NA
"0815",NA,NA,NA,NA
"0816","D or lower","B","A","A"
"0817","B","B","B","A"
"0818","A","A","B","B"
"0819","B","B","A","B"
"0820",NA,NA,NA,NA
"0821","A","A","A","B"
"0822","D or lower","B","C","D or lower"
"0823","D or lower","A","B","B"
"0824","B","C","D or lower",NA
"0825",NA,NA,NA,NA
"0826","B","C","B","C"
"0827","A","A","D or lower",NA
"0828",NA,NA,NA,NA
"0829","B","A","A","A"
"0830",NA,NA,NA,NA
"0831","B","D or lower","A","B"
"0832",NA,NA,NA,NA
"0833","A","A","D or lower","A"
"0834",NA,NA,NA,NA
"0835","C","B","C","B"
"0836",NA,NA,NA,NA
"0837",NA,NA,NA,NA
"0838",NA,NA,NA,NA
"0839","C","D or lower","D or lower","B"
"0840",NA,NA,NA,NA
"0841","C","A","C","C"
"0842","B","A","A","B"
"0843",NA,NA,NA,NA
"0844",NA,NA,NA,NA
"0845","C","A","A","A"
"0846",NA,NA,NA,NA
"0847","B","C","C","B"
"0848",NA,NA,NA,NA
"0849",NA,NA,NA,NA
"0850","C","B","B","D or lower"
"0851","C","B","C","C"
"0852","B","B","C","A"
"0853","C","A","C","A"
"0854",NA,NA,NA,NA
"0855",NA,NA,NA,NA
"0856","A","B","A","B"
"0857","B","B",NA,"A"
"0858",NA,NA,NA,NA
"0859",NA,NA,NA,NA
"0860","B","B","A","B"
"0861","B","C","A","B"
"0862",NA,NA,NA,NA
"0863","C","A",NA,"B"
"0864",NA,NA,NA,NA
"0865","A","B","B","C"
"0866","A","A","B","A"
"0867","B","C","C","B"
"0868","C",NA,"B","C"
"0869",NA,NA,NA,NA
"0870","A","A","A","B"
"0871","B","C","A","C"
"0872","C","A","A","A"
"0873","A","B","A","B"
"0874","A","C","A","B"
"0875","C","D or lower","C","B"
"0876","B","C","C","C"
"0877","B","B","C","A"
"0878","B","A","A","C"
"0879","C","D or lower","A","A"
"0880",NA,NA,NA,NA
"0881","A","B","A","A"
"0882",NA,NA,NA,NA
"0883",NA,NA,NA,NA
"0884","B","A","B",NA
"0885","B","A","B","C"
"0886","B","B","B","B"
"0887","B","B","A","B"
"0888",NA,NA,NA,NA
"0889","A","B","A",NA
"0890",NA,NA,NA,NA
"0891","B","D or lower",NA,"B"
"0892",NA,NA,NA,NA
"0893",NA,NA,NA,NA
"0894","B","A","C","B"
"0895",NA,NA,NA,NA
"0896",NA,NA,NA,NA
"0897",NA,NA,NA,NA
"0898","A","B","A","A"
"0899",NA,NA,NA,NA
"0900",NA,NA,NA,NA
"0901","B","B","C",NA
"0902","A","A","A","B"
"0903","B","C","C","B"
"0904","D or lower","B","D or lower","D or lower"
"0905",NA,NA,NA,NA
"0906",NA,NA,NA,NA
"0907",NA,NA,NA,NA
"0908",NA,NA,NA,NA
"0909","B","A","C","C"
"0910",NA,NA,NA,NA
"0911",NA,NA,NA,NA
"0912",NA,NA,NA,NA
"0913","B","A","B","C"
"0914","A","B","A","C"
"0915","D or lower","C","B","C"
"0916",NA,NA,NA,NA
"0917","A","B","B","B"
"0918",NA,NA,NA,NA
"0919",NA,NA,NA,NA
"0920","B","B","B","A"
"0921",NA,NA,NA,NA
"0922",NA,NA,NA,NA
"0923","C","D or lower","C","B"
"0924","D or lower","C","D or lower","C"
"0925","B","C","D or lower","C"
"0926","A","A","A","A"
"0927","A","B","B","A"
"0928",NA,NA,NA,NA
"0929","B","A","C","C"
"0930",NA,NA,NA,NA
"0931","B","B","B","A"
"0932",NA,NA,NA,NA
"0933",NA,NA,NA,NA
"0934",NA,NA,NA,NA
"0935","B","B","B","B"
"0936","B","D or lower","A","C"
"0937","B","B","A","A"
"0938",NA,NA,NA,NA
"0939",NA,NA,NA,NA
"0940",NA,NA,NA,NA
"0941",NA,NA,NA,NA
"0942","C",NA,NA,NA
