"idnum","k6b20a","k6b20b","k6b20c","k6b20d"
"2826",NA,NA,NA,NA
"2827","C","A","B","B"
"2828","B","A","C","B"
"2829","B","A","C","B"
"2830","C","C",NA,"B"
"2831","B","B","D or lower","D or lower"
"2832","B","C","B","B"
"2833","A","A","A","B"
"2834","C","D or lower","A","C"
"2835","B","C","A","C"
"2836","B","A","B",NA
"2837","C","D or lower","C","C"
"2838","C","B","B","C"
"2839","A","A",NA,"A"
"2840",NA,NA,NA,NA
"2841",NA,NA,NA,NA
"2842","A","B",NA,"A"
"2843",NA,NA,NA,NA
"2844",NA,NA,NA,NA
"2845","B","B","A","A"
"2846","D or lower","D or lower","D or lower","C"
"2847","B","C","C","B"
"2848",NA,NA,NA,NA
"2849",NA,NA,NA,NA
"2850",NA,NA,NA,NA
"2851","B","B","B","B"
"2852",NA,NA,NA,NA
"2853","A","B","C","A"
"2854",NA,NA,NA,NA
"2855",NA,NA,NA,NA
"2856","B","A","A","B"
"2857","A","A","A","A"
"2858","A","A",NA,"B"
"2859","D or lower","C","B","B"
"2860",NA,NA,NA,NA
"2861","C","B","D or lower","C"
"2862",NA,NA,NA,NA
"2863","A","B","B","B"
"2864",NA,NA,NA,NA
"2865","D or lower","C","D or lower","B"
"2866",NA,NA,NA,NA
"2867","C","C","C","B"
"2868","C","D or lower","C","B"
"2869","A","A","B","A"
"2870","C","D or lower","B","B"
"2871",NA,NA,NA,NA
"2872","C","B","B","C"
"2873","C","D or lower","B","B"
"2874",NA,NA,NA,NA
"2875",NA,NA,NA,NA
"2876","B","B","A","C"
"2877",NA,NA,NA,NA
"2878",NA,NA,NA,NA
"2879",NA,NA,NA,NA
"2880","B","D or lower","D or lower","B"
"2881","A","C","B","B"
"2882",NA,"C","B","D or lower"
"2883","B","C","C",NA
"2884","A","B","B","B"
"2885",NA,NA,NA,NA
"2886","A","C","B","C"
"2887","A","B","A","B"
"2888","B","A","B","B"
"2889",NA,NA,NA,NA
"2890",NA,NA,NA,NA
"2891","B","A","B","B"
"2892","C","C","B","A"
"2893","B","B",NA,"A"
"2894","D or lower","A","A","A"
"2895","B","B","B","B"
"2896",NA,"C","D or lower","C"
"2897",NA,NA,NA,NA
"2898","C","C","D or lower","C"
"2899","B","A","B",NA
"2900","B","B","B","B"
"2901","B","A","C","B"
"2902","B","C","B","B"
"2903","B","B","A","C"
"2904","B","B","A","A"
"2905","B","B","B","C"
"2906","C","B","C","D or lower"
"2907","C","B","C","B"
"2908","A","C",NA,"D or lower"
"2909",NA,NA,NA,NA
"2910","A","A","B","A"
"2911",NA,NA,NA,NA
"2912",NA,NA,NA,NA
"2913","B","D or lower","A","C"
"2914",NA,NA,NA,NA
"2915","A","A","A","A"
"2916","B","A","C","B"
"2917","A","A","A","A"
"2918",NA,NA,NA,"A"
"2919",NA,NA,NA,NA
"2920","C","C","C","C"
"2921","C","C","C","C"
"2922",NA,"C","C","C"
"2923",NA,NA,NA,NA
"2924","A","B","B","B"
"2925","D or lower","D or lower","B","C"
"2926",NA,NA,NA,NA
"2927","D or lower","D or lower","A","B"
"2928","B","B","B","A"
"2929","D or lower","D or lower","C",NA
"2930",NA,NA,NA,NA
"2931",NA,NA,NA,NA
"2932","A","A",NA,"A"
"2933","A","A","A","B"
"2934",NA,NA,NA,NA
"2935","C","B","D or lower","A"
"2936","B","A","B","A"
"2937","A","B","B","A"
"2938","D or lower","D or lower","C","D or lower"
"2939","A","B","A","A"
"2940","A","B","A","A"
"2941","A","D or lower","B","B"
"2942","B","C","A","B"
"2943","B","C","A","B"
"2944","B","C","B","A"
"2945",NA,NA,NA,NA
"2946","A","A","A","A"
"2947","C","C","B","B"
"2948",NA,NA,NA,NA
"2949",NA,NA,NA,NA
"2950",NA,NA,NA,NA
"2951","C","C","A","B"
"2952","A","B",NA,"B"
"2953","A","A",NA,NA
"2954",NA,NA,NA,NA
"2955","B","B","A","B"
"2956","C","C","C","D or lower"
"2957","B","C","B","A"
"2958",NA,NA,NA,NA
"2959","A","B","B","A"
"2960","B",NA,"C",NA
"2961","B","B","C","A"
"2962",NA,NA,NA,NA
"2963","A","B","B","A"
"2964",NA,NA,NA,NA
"2965",NA,NA,NA,NA
"2966",NA,NA,NA,NA
"2967","C","B","A","B"
"2968","B","C","A","B"
"2969","C","B","B","A"
"2970","A","A","A","B"
"2971","A","C","B","B"
"2972","C","B","C","B"
"2973",NA,NA,NA,NA
"2974",NA,NA,NA,NA
"2975","B","C","A","B"
"2976","D or lower","D or lower","A","B"
"2977",NA,NA,NA,NA
"2978","B","B","C","C"
"2979","A","A","A","A"
"2980",NA,NA,NA,NA
"2981",NA,"A","D or lower","D or lower"
"2982","B","C","B","B"
"2983","B","C","C","C"
"2984",NA,NA,NA,NA
"2985","B","A","A","D or lower"
"2986","A","A","A","B"
"2987",NA,NA,NA,NA
"2988",NA,NA,NA,NA
"2989","B","B","B","A"
"2990","C","B","C","D or lower"
"2991","D or lower","B","C","A"
"2992","D or lower",NA,"C","B"
"2993","B","C","A","B"
"2994","B","B","C","B"
"2995","B","B","B","B"
"2996",NA,NA,NA,NA
"2997","B","A","A","B"
"2998","B","A","A","C"
"2999","C","B","C","B"
"3000","C","B","B","C"
"3001","B","D or lower","B","A"
"3002","A","A","A","A"
"3003",NA,NA,NA,NA
"3004","B","C","B","B"
"3005",NA,NA,NA,NA
"3006","A","A","A","A"
"3007","B",NA,"A","A"
"3008",NA,NA,NA,"A"
"3009","B","C","B","B"
"3010","A","A","B","B"
"3011","C","A","B","C"
"3012",NA,NA,NA,NA
"3013",NA,NA,NA,NA
"3014",NA,NA,NA,NA
"3015",NA,NA,NA,NA
"3016",NA,NA,NA,NA
"3017",NA,NA,NA,NA
"3018","A","B","B","B"
"3019",NA,NA,NA,NA
"3020","C","B","A","A"
"3021","B","A","C","B"
"3022","C","C","B","B"
"3023",NA,NA,NA,NA
"3024",NA,NA,NA,NA
"3025",NA,NA,NA,NA
"3026",NA,NA,NA,NA
"3027",NA,NA,NA,NA
"3028",NA,NA,NA,NA
"3029",NA,NA,NA,NA
"3030",NA,NA,NA,NA
"3031","C","D or lower",NA,"A"
"3032","A","B","A","B"
"3033",NA,"B","B","A"
"3034","C","B","D or lower","D or lower"
"3035","B","B",NA,"B"
"3036",NA,NA,NA,NA
"3037","B","C","C","B"
"3038",NA,NA,NA,NA
"3039","A","A","C","C"
"3040","A","B","C","B"
"3041","A","C","A","A"
"3042",NA,NA,NA,NA
"3043","B","C","D or lower","C"
"3044","B","B","C","B"
"3045","D or lower","B",NA,NA
"3046","B","A","A","B"
"3047","A","A","A","A"
"3048",NA,NA,NA,NA
"3049","B","B","A","B"
"3050","B","B",NA,"B"
"3051","A","B","A","A"
"3052","D or lower","D or lower","D or lower","C"
"3053","B",NA,"C","D or lower"
"3054","A","A","A","A"
"3055","A","A",NA,"A"
"3056","B","C","C","C"
"3057","C","C","B","A"
"3058","A","A","A","C"
"3059","C","D or lower","B","B"
"3060",NA,NA,NA,NA
"3061","A","B","C","B"
"3062",NA,NA,NA,NA
"3063",NA,NA,NA,NA
"3064",NA,NA,NA,NA
"3065","A","C","C","C"
"3066",NA,NA,NA,NA
"3067","B","B","C","B"
"3068","C","B","B","B"
"3069","B","B","C","A"
"3070","A","B","A","A"
"3071","C","A","B","C"
"3072",NA,NA,NA,NA
"3073",NA,NA,NA,NA
"3074","B","C","A","D or lower"
"3075",NA,NA,NA,NA
"3076",NA,NA,NA,NA
"3077","B","C","A","B"
"3078",NA,"D or lower","D or lower",NA
"3079","D or lower","C","D or lower","C"
"3080","C","C","B","B"
"3081","A","A","B","A"
"3082",NA,NA,NA,NA
"3083",NA,NA,NA,NA
"3084",NA,NA,NA,NA
"3085","C","B","C","C"
"3086","A","A","A","A"
"3087","B","D or lower","C","B"
"3088","B","B","A","A"
"3089","B","C","A","B"
"3090","B","A","B","B"
"3091","A","B","D or lower","C"
"3092","D or lower","C",NA,"A"
"3093","C","D or lower",NA,NA
"3094",NA,NA,NA,NA
"3095","A","B","C","B"
"3096",NA,"C","B","B"
"3097","B","B","C","C"
"3098",NA,NA,NA,NA
"3099","B","B","C","A"
"3100","B","B","B","B"
"3101",NA,NA,NA,NA
"3102",NA,NA,NA,NA
"3103","A","A","B","A"
"3104","B","B","C","B"
"3105","A","A","A","A"
"3106",NA,NA,NA,NA
"3107",NA,NA,NA,NA
"3108","B","B","B","C"
"3109",NA,NA,NA,NA
"3110","D or lower","A","C","A"
"3111","C","B","A","C"
"3112","B","B","A","A"
"3113","B","B","C","A"
"3114","B","B","B","B"
"3115","C","C","B","C"
"3116","B","B","B","A"
"3117",NA,NA,NA,NA
"3118","B","C","B","C"
"3119","C","D or lower","C","C"
"3120","B","B","A","A"
"3121","B","B","A","C"
"3122","B","B","B","C"
"3123",NA,NA,NA,NA
"3124","C","B","D or lower","D or lower"
"3125",NA,NA,NA,NA
"3126","B","D or lower","D or lower","C"
"3127",NA,NA,NA,NA
"3128",NA,NA,NA,NA
"3129",NA,NA,NA,NA
"3130",NA,NA,NA,NA
"3131","B","A","C","B"
"3132",NA,NA,NA,NA
"3133",NA,NA,NA,NA
"3134",NA,NA,NA,NA
"3135","B","B","C","B"
"3136","A","A","D or lower","D or lower"
"3137","B","A","B","C"
"3138","C","D or lower","D or lower","D or lower"
"3139","C","B",NA,"C"
"3140","B","A","B","B"
"3141","A","C",NA,"C"
"3142","B","A",NA,"B"
"3143",NA,NA,NA,NA
"3144","B","C","A","B"
"3145","A","B","A","A"
"3146","B","A","A","A"
"3147","D or lower","D or lower","B",NA
"3148",NA,"C","C","D or lower"
"3149","C","B",NA,"C"
"3150","D or lower","B","C",NA
"3151","C","B","C","A"
"3152","B","C","B","C"
"3153",NA,NA,NA,NA
"3154","C","C","B","C"
"3155","B","C","A","C"
"3156","A","A","D or lower","A"
"3157","B","C","B","C"
"3158","C","C","C","D or lower"
"3159","B","C",NA,"C"
"3160",NA,NA,NA,NA
"3161",NA,NA,NA,NA
"3162","B","C","B","A"
"3163",NA,NA,NA,NA
"3164",NA,NA,NA,NA
"3165",NA,NA,NA,NA
"3166","B","A","B","A"
"3167","B","C","A","B"
"3168",NA,NA,NA,NA
"3169",NA,NA,NA,NA
"3170",NA,"B","B","B"
"3171","A","B",NA,NA
"3172",NA,NA,NA,NA
"3173",NA,NA,NA,NA
"3174","B","A","B","B"
"3175",NA,NA,NA,NA
"3176","A","A","A","A"
"3177","B","B","B","C"
"3178",NA,NA,NA,NA
"3179",NA,NA,NA,NA
"3180","B","C","D or lower","D or lower"
"3181","C","C","B","B"
"3182",NA,NA,NA,NA
"3183","B","C","C","D or lower"
"3184","A","C","B","C"
"3185","B","B","B","C"
"3186","A","B","A","A"
"3187","A","A","A","A"
"3188","A","B","C","B"
"3189","A","C","B","A"
"3190","C","C","D or lower","C"
"3191",NA,NA,NA,NA
"3192","B","C","B","C"
"3193",NA,NA,NA,NA
"3194",NA,NA,NA,NA
"3195","B","A","A","A"
"3196",NA,NA,NA,NA
"3197","C","D or lower","D or lower","D or lower"
"3198","A","A","B","D or lower"
"3199","B","B","B","A"
"3200","A","B","A","B"
"3201",NA,NA,NA,NA
"3202","B","B","C","A"
"3203","D or lower","D or lower","D or lower","D or lower"
"3204","B","C","C","B"
"3205",NA,NA,NA,NA
"3206","B","C","B","D or lower"
"3207",NA,NA,NA,NA
"3208","A","B",NA,"A"
"3209","B","C","A","A"
"3210","B","C","B","C"
"3211","D or lower","B","D or lower","C"
"3212","B","B","B","C"
"3213","B","C","A","A"
"3214",NA,NA,NA,NA
"3215",NA,"A","C","C"
"3216","B","B","B","A"
"3217","B","B","C","D or lower"
"3218","C","A","A","C"
"3219",NA,NA,NA,NA
"3220","D or lower","B","B","B"
"3221",NA,NA,NA,NA
"3222","C","B","C","B"
"3223",NA,NA,NA,NA
"3224","D or lower","D or lower","C",NA
"3225","A","B","B","C"
"3226",NA,NA,NA,NA
"3227","A","B",NA,"B"
"3228","A","A","B",NA
"3229","B","A","B","A"
"3230",NA,NA,NA,NA
"3231","B",NA,NA,"C"
"3232","B",NA,"B","B"
"3233","A","B","B","B"
"3234","D or lower","B","C","D or lower"
"3235",NA,NA,NA,NA
"3236","B","B","C","C"
"3237","A","B","A","A"
"3238","B","B","B","C"
"3239","A","C","B","B"
"3240","B","A",NA,"A"
"3241",NA,NA,NA,NA
"3242","B","C","B","B"
"3243","B","C","C","C"
"3244","B","B","C","C"
"3245","B","C","B","C"
"3246","B","B","B","A"
"3247","A","A","A","A"
"3248","B","B","C","A"
"3249","B","D or lower","C","B"
"3250",NA,NA,NA,NA
"3251",NA,NA,NA,NA
"3252",NA,NA,NA,NA
"3253","C","C","B","B"
"3254","C","A","B",NA
"3255",NA,NA,NA,NA
"3256","B","A","B","A"
"3257",NA,NA,NA,NA
"3258",NA,NA,NA,NA
"3259","C","C","B","C"
"3260","A","A","A","A"
"3261",NA,NA,NA,NA
"3262",NA,NA,NA,NA
"3263","B","B","B","A"
"3264","B",NA,NA,NA
"3265",NA,NA,NA,NA
"3266","A","B","B","B"
"3267",NA,NA,NA,NA
"3268","B","C","B","B"
"3269","B","C","D or lower","A"
"3270","D or lower","C","D or lower","C"
"3271","A","B","A","A"
"3272","B","A","B",NA
"3273",NA,NA,NA,NA
"3274","B","B","A","B"
"3275",NA,NA,NA,NA
"3276","D or lower","D or lower","D or lower","D or lower"
"3277",NA,NA,NA,NA
"3278",NA,NA,NA,NA
"3279","C","B","D or lower","C"
"3280","B","C","B","C"
"3281",NA,"D or lower","A","B"
"3282","D or lower","D or lower","B","C"
"3283",NA,NA,NA,NA
"3284",NA,NA,NA,NA
"3285","B","C","D or lower","C"
"3286",NA,NA,NA,NA
"3287",NA,NA,NA,NA
"3288","B","B","A","B"
"3289","A","A","A","A"
"3290","A","B","A","C"
"3291","B","C","B","D or lower"
"3292","B","A","C","C"
"3293","B","B","B","A"
"3294","B","B",NA,"C"
"3295","C","B","D or lower","D or lower"
"3296","D or lower","C","B","B"
"3297",NA,NA,NA,NA
"3298",NA,NA,NA,NA
"3299","B","B","B","A"
"3300","B","C","A","B"
"3301",NA,NA,NA,NA
"3302","B","A","D or lower","C"
"3303","B","C","A","A"
"3304",NA,NA,NA,NA
"3305","A","A","A","B"
"3306",NA,NA,NA,NA
"3307","B","B","A","C"
"3308",NA,NA,NA,NA
"3309",NA,NA,NA,NA
"3310","B",NA,"C","B"
"3311",NA,NA,NA,NA
"3312",NA,NA,NA,NA
"3313","A","B","A","B"
"3314",NA,NA,NA,NA
"3315","A","C",NA,"B"
"3316","B","A","B","B"
"3317","A","B","C","C"
"3318","B","B","B","B"
"3319",NA,NA,NA,NA
"3320","C","B",NA,"B"
"3321","A","B","C","B"
"3322","A","A","A","A"
"3323",NA,NA,NA,NA
"3324","A","A","B","B"
"3325","B","B","A",NA
"3326","A","B","B","A"
"3327","D or lower","D or lower","D or lower","C"
"3328","C","B","C","C"
"3329","B","A","A","A"
"3330",NA,NA,NA,NA
"3331","B","C","C","C"
"3332","C","D or lower","B","B"
"3333",NA,NA,NA,NA
"3334","A","A","B","A"
"3335",NA,NA,NA,NA
"3336","A","A","A","A"
"3337",NA,NA,NA,NA
"3338",NA,NA,NA,NA
"3339",NA,NA,NA,NA
"3340","B","C","C","A"
"3341","B","B","B","C"
"3342",NA,NA,NA,NA
"3343","B","B",NA,"B"
"3344","C","C","A","B"
"3345","C",NA,NA,"B"
"3346","B","C","B","A"
"3347","D or lower","A",NA,"A"
"3348","B","C","C","B"
"3349","A","A","A","A"
"3350","B","B","B","A"
"3351","A","A","A","A"
"3352","B","B","A",NA
"3353","C","C","B","B"
"3354","D or lower","D or lower","D or lower","D or lower"
"3355",NA,NA,NA,NA
"3356","C","B","D or lower","D or lower"
"3357","A","A","A","A"
"3358","A","B","A","B"
"3359","C","D or lower","B","D or lower"
"3360","C","C","B","C"
"3361","B","B",NA,"B"
"3362","B","B","B","B"
"3363",NA,NA,NA,NA
"3364","A","A","A","A"
"3365",NA,NA,NA,NA
"3366","B","D or lower",NA,"C"
"3367",NA,NA,NA,NA
"3368",NA,NA,NA,NA
"3369",NA,NA,NA,NA
"3370","D or lower","A","A","B"
"3371",NA,NA,NA,NA
"3372","B","B","A","B"
"3373",NA,NA,NA,NA
"3374","B","B","A","A"
"3375","B","B","A","B"
"3376",NA,NA,NA,NA
"3377","B","A","B","B"
"3378",NA,NA,NA,NA
"3379","B","B","D or lower","C"
"3380","D or lower","D or lower","D or lower","D or lower"
"3381","B","B","B","B"
"3382","C","B",NA,"A"
"3383","A","B","C","B"
"3384","B","B","B","A"
"3385","B","B","A","D or lower"
"3386","B","A","A","B"
"3387",NA,NA,NA,NA
"3388",NA,NA,NA,NA
"3389","B","B",NA,"C"
"3390","D or lower","B","C","D or lower"
"3391","A","C","A","A"
"3392",NA,NA,NA,NA
"3393","B","B","C","C"
"3394",NA,NA,NA,NA
"3395","A","A","B","B"
"3396","A","B","A","B"
"3397","A","B","B","A"
"3398","B","C","B","B"
"3399","B","A","B","B"
"3400","B","B","A","A"
"3401","B","C","B","B"
"3402",NA,NA,NA,NA
"3403",NA,NA,NA,NA
"3404",NA,NA,NA,NA
"3405","B","B","B","B"
"3406","C","D or lower","B","D or lower"
"3407","B","B","B","A"
"3408","C","B","C","A"
"3409",NA,"B","B","A"
"3410",NA,NA,NA,NA
"3411","A","B","A","B"
"3412","C","D or lower","C","C"
"3413",NA,NA,NA,NA
"3414","A","A","B","A"
"3415","B","A","B","B"
"3416","B","B","C","B"
"3417","C","B","C","C"
"3418","A","B","A","A"
"3419","B","B","B","B"
"3420","A","B","A","B"
"3421","B","B","A","B"
"3422","A","B","A","A"
"3423","A","C","D or lower","A"
"3424","B","B","A","C"
"3425","C","B","C","C"
"3426",NA,NA,NA,NA
"3427",NA,NA,NA,NA
"3428",NA,NA,NA,NA
"3429","C","B",NA,"A"
"3430","C","B","A","C"
"3431","B","B","A","B"
"3432",NA,NA,NA,NA
"3433",NA,NA,"A","B"
"3434",NA,NA,NA,NA
"3435","A","C","A","C"
"3436","B","B","A","B"
"3437","B","A","C","B"
"3438","C","B",NA,"A"
"3439",NA,NA,NA,NA
"3440",NA,NA,NA,NA
"3441",NA,NA,NA,NA
"3442","B","C","C","B"
"3443","D or lower","D or lower","C","C"
"3444","B","C","B","B"
"3445","B","A","B","B"
"3446","C","D or lower","B","A"
"3447","B","C","B","B"
"3448","A",NA,"B","A"
"3449","A","B","C","B"
"3450","C",NA,"B",NA
"3451","A","B","A","A"
"3452","B","B","B","A"
"3453","C","B","C","A"
"3454","B","C","A","B"
"3455",NA,NA,"C",NA
"3456","A","B","B","B"
"3457","A","A","B","B"
"3458","B","C","C","C"
"3459","B","B","C","B"
"3460","B","A","B","B"
"3461","A","A","A","A"
"3462",NA,NA,NA,NA
"3463",NA,"D or lower","B",NA
"3464","C","B","D or lower","B"
"3465",NA,NA,NA,NA
"3466","B","C","B","B"
"3467",NA,NA,NA,NA
"3468","B","D or lower","A","D or lower"
"3469","B","B","A","A"
"3470","B","B","C","C"
"3471","B","B","C","C"
"3472","B","A","C","B"
"3473",NA,NA,NA,NA
"3474","A","C","B",NA
"3475","B","A","D or lower","A"
"3476",NA,NA,NA,NA
"3477","A","A","A","A"
"3478",NA,NA,NA,NA
"3479","D or lower","D or lower","C","B"
"3480","A","A","A","B"
"3481",NA,NA,NA,NA
"3482",NA,"C","D or lower",NA
"3483","C","B",NA,"A"
"3484",NA,"A","C","B"
"3485","A","C","A","C"
"3486",NA,NA,NA,NA
"3487","B","C","A","B"
"3488",NA,NA,NA,NA
"3489",NA,NA,NA,NA
"3490","A","B","A","C"
"3491","C","B","B","B"
"3492",NA,NA,NA,NA
"3493",NA,NA,NA,NA
"3494","B","C","B","A"
"3495","C","D or lower","B","C"
"3496",NA,NA,NA,NA
"3497",NA,NA,NA,NA
"3498","A","A","A","A"
"3499",NA,NA,NA,NA
"3500","C","B","B","B"
"3501",NA,NA,NA,NA
"3502","A","A","B","A"
"3503","C",NA,"C","B"
"3504",NA,NA,NA,NA
"3505","B","B","B","A"
"3506","B","C","C","C"
"3507",NA,NA,NA,NA
"3508","B","C","C","B"
"3509",NA,NA,NA,NA
"3510","B","A","B","B"
"3511",NA,NA,NA,NA
"3512",NA,NA,NA,NA
"3513","B","A","A","B"
"3514","B","B","B","B"
"3515",NA,NA,NA,NA
"3516","A","A","B","A"
"3517","B","A","A","B"
"3518","A",NA,NA,NA
"3519","B","A","B","A"
"3520",NA,NA,NA,NA
"3521",NA,NA,NA,NA
"3522","C","D or lower","B","B"
"3523","B","C","C","C"
"3524","C","B","D or lower","B"
"3525","A","B","C","B"
"3526",NA,NA,NA,NA
"3527","B","B","B","C"
"3528","B","A","A","B"
"3529","C","D or lower","B","C"
"3530",NA,NA,NA,NA
"3531","B","B","B","B"
"3532","C","B",NA,"C"
"3533","B","A","A","B"
"3534","B","C","D or lower","A"
"3535","B","C","C","D or lower"
"3536",NA,NA,NA,NA
"3537","B","B","B","C"
"3538","A",NA,"C","B"
"3539","B","B","A","B"
"3540","B","B","B","B"
"3541","D or lower","B","C",NA
"3542",NA,NA,NA,NA
"3543","C","A","B","B"
"3544","B","A","C",NA
"3545","C","D or lower","B","C"
"3546","A","D or lower","D or lower","C"
"3547",NA,NA,NA,NA
"3548","A","A","A","A"
"3549","B","B","A","A"
"3550","B","B","B","A"
"3551","B","B","A","A"
"3552","A","C","C","B"
"3553","C","C","C","C"
"3554",NA,NA,NA,NA
"3555",NA,NA,NA,NA
"3556",NA,NA,NA,NA
"3557","D or lower","C","D or lower","C"
"3558","B","B","A","B"
"3559","B",NA,"C","B"
"3560","B","C","B","D or lower"
"3561","B","B","C","B"
"3562","A","A","A","A"
"3563","A","B",NA,"A"
"3564",NA,NA,NA,NA
"3565",NA,"C","C","B"
"3566",NA,NA,NA,NA
"3567","B","B","B","C"
"3568","B","C","A","D or lower"
"3569","A","C","B","B"
"3570","C","B","C","C"
"3571","A","A","A","A"
"3572",NA,NA,NA,NA
"3573","A","C","B","A"
"3574","B","B","C","C"
"3575",NA,NA,NA,NA
"3576","B","A","B","A"
"3577","A","B","C","A"
"3578","B","B","A","B"
"3579","B","C","D or lower","B"
"3580","B","D or lower","B","C"
"3581","A","A","B","A"
"3582","B","C","A","B"
"3583",NA,NA,NA,"C"
"3584","C","C","D or lower","C"
"3585","C","B","C","B"
"3586","C","D or lower","B","A"
"3587","C","D or lower","B","A"
"3588","B","B","A","A"
"3589","B","B","B","B"
"3590","B","C","B","C"
"3591",NA,NA,"C",NA
"3592","B","C","B","C"
"3593","B","B","C","A"
"3594","B","A","A","B"
"3595","B","A","A","A"
"3596",NA,NA,NA,NA
"3597",NA,NA,NA,NA
"3598","A","A","B","A"
"3599",NA,NA,NA,NA
"3600","B","C","A","A"
"3601","C","A",NA,"B"
"3602","B","A","B","B"
"3603","D or lower",NA,NA,NA
"3604","B","B","B","B"
"3605","B","B","A","A"
"3606",NA,NA,NA,NA
"3607","A","B","B","B"
"3608",NA,NA,NA,NA
"3609",NA,NA,NA,NA
"3610",NA,NA,NA,NA
"3611",NA,NA,NA,NA
"3612","B","B","A","B"
"3613",NA,NA,NA,NA
"3614","C","A","C","D or lower"
"3615",NA,NA,NA,NA
"3616","B","B","B","C"
"3617",NA,NA,NA,NA
"3618","C","D or lower","C","A"
"3619",NA,NA,NA,NA
"3620","A","A","A","B"
"3621","C","B","C","B"
"3622","A","A","A","A"
"3623","A","B","A","B"
"3624","B","B","A","B"
"3625",NA,NA,NA,NA
"3626","B","C","B","C"
"3627","D or lower","B",NA,"D or lower"
"3628",NA,NA,NA,NA
"3629","B","C","B","C"
"3630","B","B","B","A"
"3631","C","D or lower",NA,NA
"3632",NA,NA,NA,NA
"3633","C","B",NA,"A"
"3634","B","C","B","A"
"3635","C","B","C","C"
"3636","B","C","C","C"
"3637","B","C","B","B"
"3638",NA,NA,NA,NA
"3639","C","D or lower","C","C"
"3640","A","B","A","B"
"3641",NA,NA,NA,NA
"3642","B","C","C","A"
"3643","B","C","C","C"
"3644",NA,NA,NA,NA
"3645",NA,NA,NA,NA
"3646","C","C","C",NA
"3647","C","C","B","C"
"3648","B","A","A","C"
"3649","A","C","B","C"
"3650","C","C","C","C"
"3651","A","B","C","B"
"3652","A","B","A","A"
"3653","C","D or lower","C","C"
"3654",NA,NA,NA,NA
"3655","A","B","A","B"
"3656","B","B","A","C"
"3657","B","B","B","B"
"3658","A","A","A","B"
"3659","C","C","B","C"
"3660","A","A","A","B"
"3661","C","D or lower","B","B"
"3662",NA,NA,NA,NA
"3663","A","B","A","B"
"3664","B","C","C","A"
"3665",NA,NA,NA,NA
"3666","C",NA,"B","B"
"3667","B","D or lower",NA,"A"
"3668","B","C","A","C"
"3669","B","C","B","B"
"3670",NA,NA,NA,NA
"3671","C","A","B","D or lower"
"3672",NA,NA,NA,NA
"3673",NA,NA,NA,NA
"3674",NA,NA,NA,NA
"3675","B","B","D or lower",NA
"3676","B","B","C","B"
"3677","A","B","A","A"
"3678","B","A","B","A"
"3679",NA,NA,NA,NA
"3680","B","B","A","C"
"3681","B","C","C","C"
"3682",NA,NA,NA,NA
"3683","A","B","B","C"
"3684","B","B","A","B"
"3685",NA,NA,NA,NA
"3686","A","A","B","B"
"3687","B","B","A","B"
"3688","B","B","A","A"
"3689","A","B","A","B"
"3690","A","A","A","A"
"3691","C","B","D or lower","C"
"3692","B","B","B","C"
"3693","C","B","C","C"
"3694","C","B",NA,"C"
"3695","C","D or lower","C","C"
"3696",NA,NA,NA,NA
"3697",NA,NA,NA,NA
"3698",NA,NA,NA,NA
"3699","C","A","B","C"
"3700","B",NA,"B","C"
"3701","C","C","B","C"
"3702","B","A","A","B"
"3703","C","B","D or lower","D or lower"
"3704","B","B",NA,"A"
"3705","A","A","B","A"
"3706",NA,NA,NA,NA
"3707","B","B","A","C"
"3708","B","D or lower","C","B"
"3709","C","C","B","B"
"3710","C","B","B","B"
"3711","C","A","B","C"
"3712","C","D or lower","B","A"
"3713","A","A","B","B"
"3714","A","B","A","A"
"3715","C","C","D or lower","C"
"3716",NA,NA,NA,NA
"3717",NA,NA,NA,NA
"3718","A","A","A","B"
"3719","B","B","B","B"
"3720",NA,NA,NA,NA
"3721","A","A","A","A"
"3722","B","A","B","C"
"3723",NA,NA,NA,NA
"3724","C","B","D or lower","B"
"3725","B","B","C","B"
"3726","B","A",NA,"B"
"3727","C","D or lower","C","B"
"3728","B","A","A","B"
"3729",NA,NA,NA,NA
"3730","B","B","B","C"
"3731","C","B","C","C"
"3732",NA,NA,NA,NA
"3733",NA,NA,NA,NA
"3734","B","C","B","C"
"3735","A","A",NA,"C"
"3736","B","C","A","A"
"3737","A","D or lower","A","D or lower"
"3738","A","A","A","A"
"3739","A","B","A","B"
"3740","B","C","D or lower","C"
"3741","B","C","C","C"
"3742","C","B","B","D or lower"
"3743","B","B","A","B"
"3744",NA,NA,NA,NA
"3745","A","D or lower","A","B"
"3746",NA,NA,NA,NA
"3747","A","B","A","C"
"3748",NA,NA,NA,NA
"3749","A","A","B","A"
"3750","C","C",NA,"B"
"3751","A","B","A","C"
"3752",NA,"C","D or lower","B"
"3753","B","B","B","C"
"3754",NA,NA,NA,NA
"3755","B","C","B","B"
"3756","C","C",NA,NA
"3757","C","B","B","B"
"3758","B","A","C","C"
"3759","B","C",NA,"D or lower"
"3760",NA,NA,NA,NA
"3761","B","B","A","C"
"3762","C","B","A","B"
"3763","C","B",NA,"D or lower"
"3764","C","C","C","C"
"3765",NA,NA,NA,NA
"3766","A","B","A","B"
"3767","A","A","A","A"
"3768","A","D or lower","C","B"
"3769","B","C","B","B"
"3770","A","B","A","A"
"3771","A","B","D or lower","B"
"3772",NA,NA,NA,NA
