"idnum","mother_fin_security_w2345"
"1576","Yes"
"1577","Yes"
"1578","Yes"
"1579","Yes"
"1580","Yes"
"1581","No"
"1582","Yes"
"1583","No"
"1584","No"
"1585","No"
"1586","Yes"
"1587","No"
"1588","Yes"
"1589","Yes"
"1590","No"
"1591","No"
"1592","Yes"
"1593","Yes"
"1594","No"
"1595","Yes"
"1596","No"
"1597","Yes"
"1598","Yes"
"1599","No"
"1600","No"
"1601","No"
"1602","Yes"
"1603","No"
"1604","No"
"1605","No"
"1606","Yes"
"1607","No"
"1608","Yes"
"1609","Yes"
"1610","Yes"
"1611","No"
"1612","Yes"
"1613","No"
"1614","No"
"1615","No"
"1616","No"
"1617","No"
"1618","No"
"1619","Yes"
"1620","Yes"
"1621","No"
"1622","Yes"
"1623","Yes"
"1624","No"
"1625","No"
"1626","No"
"1627","No"
"1628","No"
"1629","No"
"1630","Yes"
"1631","No"
"1632","Yes"
"1633","Yes"
"1634","Yes"
"1635","Yes"
"1636","Yes"
"1637","No"
"1638","Yes"
"1639","Yes"
"1640","Yes"
"1641","No"
"1642","Yes"
"1643","No"
"1644","No"
"1645","Yes"
"1646","Yes"
"1647","Yes"
"1648","No"
"1649","No"
"1650","Yes"
"1651","Yes"
"1652","Yes"
"1653","No"
"1654","Yes"
"1655","Yes"
"1656","Yes"
"1657","No"
"1658","Yes"
"1659",NA
"1660","No"
"1661","No"
"1662","No"
"1663","No"
"1664","Yes"
"1665","Yes"
"1666","No"
"1667","Yes"
"1668","Yes"
"1669","Yes"
"1670","Yes"
"1671","Yes"
"1672","Yes"
"1673","Yes"
"1674","Yes"
"1675","Yes"
"1676","No"
"1677","Yes"
"1678","No"
"1679","No"
"1680","No"
"1681","Yes"
"1682","No"
"1683","Yes"
"1684","Yes"
"1685","No"
"1686","No"
"1687","No"
"1688","No"
"1689","No"
"1690",NA
"1691",NA
"1692","Yes"
"1693","Yes"
"1694","No"
"1695","No"
"1696","Yes"
"1697","Yes"
"1698","No"
"1699","Yes"
"1700","Yes"
